1,0,1,11
2,0,1,11
2,0,1,11
2,0,1,11
2,0,1,11
1,0,1,11
1,0,1,12
4,0,1,14
2,0,1,13
3,0,1,12
1,0,1,13
2,0,1,13
3,0,1,12
2,0,1,12
2,0,1,12
2,0,1,13
2,0,1,14
4,0,1,14
2,0,1,14
2,0,1,12
2,0,1,14
4,0,1,16
2,0,1,14
2,0,1,15
2,0,1,14
3,0,1,14
2,0,1,14
2,0,1,17
4,0,1,16
4,0,1,20
3,0,1,18
3,0,1,18
2,0,1,17
3,0,1,16
2,0,1,18
2,0,1,17
2,0,1,18
3,0,1,20
3,0,1,21
3,0,1,22
3,0,1,20
2,0,1,24
4,0,2,26
3,0,2,25
5,0,2,25
4,0,2,25
4,0,2,26
4,0,2,29
3,0,2,27
2,0,2,27
4,0,2,29
3,0,2,26
3,0,2,27
3,0,2,26
4,0,2,27
4,0,2,29
4,0,2,26
3,0,2,27
3,0,2,28
4,0,2,28
2,0,2,29
3,0,2,30
3,0,2,24
3,0,2,28
3,0,2,28
3,0,2,26
3,0,2,27
3,0,2,28
3,0,2,27
3,0,2,29
3,0,2,27
4,0,2,30
4,0,2,31
4,0,2,30
4,0,2,28
4,0,2,29
3,0,2,29
3,0,2,30
4,0,2,31
4,0,2,28
4,0,2,30
3,0,2,31
3,0,2,31
4,0,2,33
3,0,2,32
3,0,2,31
3,0,2,32
4,0,2,30
4,0,2,33
3,0,2,32
4,0,2,29
3,0,2,31
3,0,2,32
4,0,2,34
4,0,2,33
4,0,2,35
3,0,2,32
3,0,2,36
4,0,2,36
4,0,2,35
4,0,2,36
3,0,2,31
3,0,2,35
5,0,2,36
4,0,2,32
4,0,2,34
4,1,2,37
6,0,2,37
3,0,2,35
3,0,2,31
5,0,2,33
3,0,2,34
4,0,2,35
3,0,2,33
4,0,2,38
4,1,2,40
4,1,2,35
5,1,2,42
4,0,2,37
3,0,2,35
4,0,2,39
4,0,2,33
5,0,2,39
4,0,2,36
4,0,2,42
4,0,2,40
3,0,2,37
3,0,2,34
4,0,2,36
4,0,2,33
4,0,2,40
6,0,2,37
5,0,2,38
5,0,2,42
4,0,2,36
3,0,2,34
5,1,2,41
5,0,2,38
4,0,2,38
4,0,2,41
4,0,2,39
4,0,2,35
5,0,2,43
4,0,2,38
5,0,2,38
3,0,2,40
4,0,2,38
3,0,2,36
4,0,2,35
5,1,2,42
4,0,2,38
5,0,2,42
5,0,2,42
5,0,2,40
4,0,2,37
4,0,2,43
5,0,2,44
4,0,2,39
4,0,2,41
4,0,2,40
4,0,2,42
5,0,2,42
3,0,2,39
5,0,2,39
5,0,2,42
4,0,2,43
4,0,2,42
3,1,2,41
4,1,2,42
4,0,2,40
4,0,2,47
4,1,2,43
4,0,2,43
3,0,2,41
4,0,2,41
4,0,2,41
4,1,2,44
3,0,2,43
5,0,2,45
6,0,2,45
5,0,2,44
6,1,2,47
4,0,2,45
5,0,2,46
4,0,2,47
5,1,2,49
4,0,2,44
5,1,2,43
4,0,2,48
4,0,2,45
6,0,2,41
5,1,2,47
4,1,2,46
4,0,2,44
4,0,2,43
5,0,2,41
4,0,3,50
4,1,2,49
5,0,3,51
4,0,2,41
4,1,2,55
5,0,2,51
3,0,2,42
